ID Gender,Gender,ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
1,"Male",2014,"2014","true","true",4463,17673.48793858701,606.8736179992065,578249,18631.111024029153,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2019,"2019","true","true",4749,20623.072965952004,525.2908202312066,598978,18963.618518832893,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2018,"2018","true","true",4854,20686.4138530129,673.0837233348572,608965,19119.857164789853,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2015,"2015","true","true",4690,18222.549634661304,539.9034757904875,614772,19208.741069240714,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2017,"2017","true","true",4750,20283.27826012911,728.251175263852,622414,19328.472897718853,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2016,"2016","true","true",4751,19210.753119282374,573.8136585022959,629632,19439.081530946023,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2019,"2019","true","true",11664,16800.585961814228,302.87478608014743,1391932,28832.504630868134,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2016,"2016","true","true",11708,15080.583208739607,287.88300356696703,1425968,29173.55918067255,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2015,"2015","true","true",11811,14285.423721079962,258.6806466424188,1428940,29201.63618897118,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2018,"2018","true","true",12133,16387.48392227965,331.0059132560812,1429587,29214.17974851614,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2017,"2017","true","true",12040,15741.616450326519,315.2189555750955,1431619,29233.022210238112,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2014,"2014","true","true",11734,13945.418633637524,250.929737414394,1432109,29230.97434605746,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2014,"2014","true","true",4459,13356.274298903372,523.4948232120278,527709,17801.50805291439,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2016,"2016","true","true",4422,14747.880283148132,475.223519069351,531312,17863.0078723366,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2017,"2017","true","true",4453,15497.919279057229,518.9660016408284,532303,17880.115000064518,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2015,"2015","true","true",4479,14393.623636502374,594.9087941395898,537313,17962.769590988388,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2018,"2018","true","true",4661,16167.96790011067,612.1356386729842,560220,18341.669272949148,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2019,"2019","true","true",4492,17059.340446007183,556.8496421380532,564251,18407.7979013277,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2019,"2019","true","true",8540,20234.20914573957,515.0603468095732,1149825,26226.39979076514,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2018,"2018","true","true",8794,19141.176649131135,457.3252436819435,1152137,26251.066282883476,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2015,"2015","true","true",8739,16369.608249717667,334.52352951538825,1167943,26424.68561367634,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2017,"2017","true","true",8885,18235.132298817975,355.10377008684117,1170532,26456.893445001286,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2014,"2014","true","true",8683,16482.64735517656,327.5401198378895,1177848,26533.564495309976,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2016,"2016","true","true",8949,17855.082597734367,411.4773437235987,1193132,26707.28129035462,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2014,"2014","true","true",3205,33376.21664272246,1142.7671116721579,400932,15523.54952624204,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2015,"2015","true","true",3274,33874.267611179646,1150.1380250968784,401265,15530.375168211463,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2016,"2016","true","true",3422,34189.88598779625,1155.9636882366563,407088,15642.640336207643,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2017,"2017","true","true",3470,36279.42209819946,1307.172159616175,421428,15915.345111961762,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2014,"2014","true","true",3445,50758.54218475999,2044.9180868068172,427690,16031.672739648642,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2018,"2018","true","true",3589,36488.62228660502,1169.7407586676527,431102,16096.732626320803,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2018,"2018","true","true",3660,53181.88141645349,2128.7524104178196,435482,16178.05977616528,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
2,"Female",2019,"2019","true","true",3670,39080.31139483428,1486.5886924665162,442920,16315.581155414706,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2019,"2019","true","true",3735,54330.67413136378,2210.524004807116,447886,16406.521706007556,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2016,"2016","true","true",3631,50845.59452158,1901.4392728669459,448633,16419.09765171721,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
1,"Male",2015,"2015","true","true",3627,48811.372683876434,1834.2268190046232,451023,16462.283743871463,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services"
