IDPUMA,PUMA,IDYear,Year,AverageWage,AverageWageAppxMOE,RecordCount,SlugPUMA,PUMSIndustry,IDPUMSIndustry,SlugPUMSIndustry
"79500US7200101","Carr 2-Carr 111 PUMA, PR",2019,"2019",6882.541134185303,2504.8536718412693,13,"carr-2-carr-111-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200102","Carr 2 (Noroeste) PUMA, PR",2019,"2019",11273.548933683904,6609.082640994086,22,"carr-2-noroeste-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200201","Carr 2-Carr 100 PUMA, PR",2019,"2019",14789.78891566265,13378.708623235108,14,"carr-2-carr-100-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200202","Carr 2 (Suroeste) PUMA, PR",2019,"2019",7821.91806722689,4252.472736765192,21,"carr-2-suroeste-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200301","Carr 2 (Norte) PUMA, PR",2019,"2019",5793.136093143597,2703.6442239543185,24,"carr-2-norte-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200302","Carr 2-Carr 129 PUMA, PR",2019,"2019",7503.41475177305,4438.279433764812,26,"carr-2-carr-129-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200401","Carr 2 (Sur) PUMA, PR",2019,"2019",9463.0893081761,7936.263193274587,16,"carr-2-sur-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200402","Ponce & Jayuya Municipios PUMA, PR",2019,"2019",9038.5181840371,3199.4087722528548,40,"ponce-jayuya-municipios-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200403","Carr 52-Carr 150 PUMA, PR",2019,"2019",5386.257113115892,2191.446261033238,21,"carr-52-carr-150-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200501","Carr 137-Carr 149 PUMA, PR",2019,"2019",8866.280647863725,5884.839741058609,28,"carr-137-carr-149-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200502","Toa Baja & Dorado Municipios PUMA, PR",2019,"2019",7654.699746192893,2809.4507739026235,32,"toa-baja-dorado-municipios-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
"79500US7200503","Toa Alta & Vega Alta Municipios PUMA, PR",2019,"2019",9309.485247208931,2980.2772755235765,14,"toa-alta-vega-alta-municipios-puma-pr","Restaurants & Food Services","722Z","restaurants-food-services"
